ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ECO_REL_AGUA;DESC_ECO_REL_AGUA;CODG_TIP_DIN_ECO_REL_AGUA;DESC_TIP_DIN_ECO_REL_AGUA;SUB_INDICADOR
Indicador  6.6.1;2;-;15;Pará;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;15;Pará;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;15;Pará;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;15;Pará;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-0.5;15;Pará;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;24.1;15;Pará;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;16;Amapá;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;16;Amapá;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;16;Amapá;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;16;Amapá;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;16;Amapá;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;-;16;Amapá;12769;2021;58678;Rios e Lagos;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-12.4;16;Amapá;12769;2021;58678;Rios e Lagos;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;17.3;16;Amapá;12769;2021;58678;Rios e Lagos;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;59.1;17;Tocantins;12769;2021;58679;Reservatórios;58682;Dinâmica da extensão mínima;12769
Indicador  6.6.1;2;59.1;17;Tocantins;12769;2021;58679;Reservatórios;58683;Dinâmica da extensão máxima;12769
Indicador  6.6.1;2;-;17;Tocantins;12769;2021;58679;Reservatórios;58680;Dinâmica dos corpos hídricos permanentes;12769
Indicador  6.6.1;2;-;17;Tocantins;12769;2021;58679;Reservatórios;58681;Dinâmica dos corpos hídricos sazonais;12769
Indicador  6.6.1;2;-;17;Tocantins;12769;2021;58678;Rios e Lagos;58682;Dinâmica da extensão mínima;12769
